case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,triton,49,4,0.953125,0.9266321459037387,0.9796178540962613
b300-tp1,triton,50,4,0.92138671875,0.902847798221095,0.939925639278905
b300-tp1,triton,51,4,0.91943359375,0.90826402631878,0.93060316118122
b300-tp1,triton,52,4,0.935546875,0.9304717645952144,0.9406219854047856
b300-tp1,triton,53,4,0.90869140625,0.8949381847854675,0.9224446277145325
b300-tp1,triton,54,4,0.95654296875,0.9512352912425859,0.9618506462574141
b300-tp1,triton,55,4,0.90478515625,0.8930532506327973,0.9165170618672027
b300-tp1,triton,56,4,0.9453125,0.9351622791904288,0.9554627208095712
b300-tp1,triton,57,4,0.9345703125,0.9051412355267384,0.9639993894732616
b300-tp1,triton,58,4,0.90283203125,0.8810955342350514,0.9245685282649486
b300-tp1,triton,59,4,0.9365234375,0.9177901607155479,0.9552567142844521
b300-tp1,triton,60,4,0.9189453125,0.9020177079727496,0.9358729170272504
b300-tp1,triton,61,4,0.9072265625,0.9041187047799963,0.9103344202200037
b300-tp1,triton,62,4,0.9091796875,0.8974135280708744,0.9209458469291256
b300-tp1,triton,63,4,0.9189453125,0.9115471313421666,0.9263434936578334
b300-tp1,triton,64,4,0.9150390625,0.8899827125162914,0.9400954124837086
b300-tp1,triton,65,4,0.9296875,0.9074205434679616,0.9519544565320384
b300-tp1,triton,66,4,0.93017578125,0.9111229826736064,0.9492285798263936
b300-tp1,triton,67,4,0.9423828125,0.9327200901674859,0.9520455348325141
b300-tp1,triton,68,4,0.91162109375,0.8917413285195306,0.9315008589804694
b300-tp1,triton,69,4,0.90869140625,0.8954146322501876,0.9219681802498124
b300-tp1,triton,70,4,0.9189453125,0.9074560426665245,0.9304345823334755
b300-tp1,triton,71,4,0.9482421875,0.9327028988999819,0.9637814761000181
b300-tp1,triton,72,4,0.921875,0.908447519992741,0.935302480007259
b300-tp1,triton,73,4,0.87841796875,0.8617057064756953,0.8951302310243047
b300-tp1,triton,74,4,0.9345703125,0.9217562868510338,0.9473843381489662
b300-tp1,triton,75,4,0.93701171875,0.9280850770654562,0.9459383604345438
b300-tp1,triton,76,4,0.9580078125,0.9526248450262585,0.9633907799737415
b300-tp1,triton,77,4,0.8837890625,0.8578488431612505,0.9097292818387495
b300-tp1,triton,78,4,0.921875,0.9034013192764649,0.9403486807235351
b300-tp1,triton,79,4,0.9267578125,0.8932371020703898,0.9602785229296102
b300-tp1,triton,80,4,0.908203125,0.8837318288413831,0.9326744211586169
b300-tp1,triton,81,4,0.92041015625,0.9015270964559031,0.9392932160440969
b300-tp1,triton,82,4,0.90185546875,0.8780004252883181,0.9257105122116819
b300-tp1,triton,83,4,0.92724609375,0.9101528762899801,0.9443393112100199
b300-tp1,triton,84,4,0.9638671875,0.9498530808442649,0.9778812941557351
b300-tp1,triton,85,4,0.9462890625,0.9162107365836645,0.9763673884163355
b300-tp1,triton,86,4,0.9140625,0.88985576616678,0.93826923383322
b300-tp1,triton,87,4,0.921875,0.8953821459037387,0.9483678540962613
b300-tp1,triton,88,4,0.92041015625,0.9066569347854675,0.9341633777145325
b300-tp1,triton,89,4,0.955078125,0.9325238410164622,0.9776324089835378
b300-tp1,triton,90,4,0.93212890625,0.9109931886880125,0.9532646238119875
b300-tp1,triton,91,4,0.916015625,0.9084029593928216,0.9236282906071784
b300-tp1,triton,92,4,0.9267578125,0.9152685426665245,0.9382470823334755
b300-tp1,triton,93,4,0.9033203125,0.8877810238999819,0.9188596011000181
b300-tp1,triton,94,4,0.93359375,0.9086017296474255,0.9585857703525745
b300-tp1,triton,95,4,0.94677734375,0.9382189709280762,0.9553357165719238
b300-tp1,triton,96,4,0.9443359375,0.9322992563080438,0.9563726186919562
b300-tp1,triton,97,4,0.94677734375,0.9218659690428455,0.9716887184571545
b300-tp1,triton,98,4,0.91845703125,0.8799417411940259,0.9569723213059741
b300-tp1,triton,99,4,0.93017578125,0.9173932011101489,0.9429583613898511
b300-tp1,triton,100,4,0.9169921875,0.890804912877527,0.943179462122473
b300-tp1,liger_tp,1,4,0.48974609375,0.4504037573660519,0.529088430133948
b300-tp1,liger_tp,2,4,0.52099609375,0.46708424195799636,0.5749079455420036
b300-tp1,liger_tp,3,4,0.51708984375,0.48901858734179454,0.5451611001582055
b300-tp1,liger_tp,4,4,0.55078125,0.5263099538413831,0.5752525461586169
b300-tp1,liger_tp,5,4,0.6923828125,0.6435389944354468,0.7412266305645532
b300-tp1,liger_tp,6,4,0.6826171875,0.6435108354426577,0.7217235395573423
b300-tp1,liger_tp,7,4,0.703125,0.6664399900002077,0.7398100099997923
b300-tp1,liger_tp,8,4,0.72900390625,0.6862873468430097,0.7717204656569903
b300-tp1,liger_tp,9,4,0.7509765625,0.7145116205327915,0.7874415044672085
b300-tp1,liger_tp,10,4,0.767578125,0.7075822484708449,0.8275740015291551
b300-tp1,liger_tp,11,4,0.7685546875,0.7332562092126232,0.8038531657873768
b300-tp1,liger_tp,12,4,0.86083984375,0.8208481830769391,0.9008315044230609
b300-tp1,liger_tp,13,4,0.8642578125,0.8448492472592704,0.8836663777407296
b300-tp1,liger_tp,14,4,0.77392578125,0.7376489467469614,0.8102026157530386
b300-tp1,liger_tp,15,4,0.81787109375,0.8036573865114622,0.8320848009885378
b300-tp1,liger_tp,16,4,0.89501953125,0.874659702546542,0.915379359953458
b300-tp1,liger_tp,17,4,0.86474609375,0.8439172631527311,0.8855749243472689
b300-tp1,liger_tp,18,4,0.87158203125,0.8455334369031456,0.8976306255968544
b300-tp1,liger_tp,19,4,0.82373046875,0.8151720959280762,0.8322888415719238
b300-tp1,liger_tp,20,4,0.88525390625,0.8670656352610722,0.9034421772389278
b300-tp1,liger_tp,21,4,0.88427734375,0.8655655624135733,0.9029891250864267
b300-tp1,liger_tp,22,4,0.86572265625,0.8283098490200107,0.9031354634799893
b300-tp1,liger_tp,23,4,0.849609375,0.8341740292963218,0.8650447207036782
b300-tp1,liger_tp,24,4,0.88330078125,0.8700240072501876,0.8965775552498124
b300-tp1,liger_tp,25,4,0.84716796875,0.8223861729434999,0.8719497645565001
b300-tp1,liger_tp,26,4,0.90869140625,0.8816721028043428,0.9357107096956572
b300-tp1,liger_tp,27,4,0.90087890625,0.873387098300917,0.928370714199083
b300-tp1,liger_tp,28,4,0.896484375,0.8621569644925076,0.9308117855074924
b300-tp1,liger_tp,29,4,0.880859375,0.8478711573688936,0.9138475926311064
b300-tp1,liger_tp,30,4,0.8955078125,0.8840185426665245,0.9069970823334755
b300-tp1,liger_tp,31,4,0.88623046875,0.8737022937581457,0.8987586437418543
b300-tp1,liger_tp,32,4,0.9287109375,0.9077089311968973,0.9497129438031027
b300-tp1,liger_tp,33,4,0.84765625,0.788962428120887,0.906350071879113
b300-tp1,liger_tp,34,4,0.90771484375,0.8828034690428455,0.9326262184571545
b300-tp1,liger_tp,35,4,0.84130859375,0.79234133900121,0.89027584849879
b300-tp1,liger_tp,36,4,0.8955078125,0.85782704018381,0.93318858481619
b300-tp1,liger_tp,37,4,0.9267578125,0.9104107566239281,0.9431048683760719
b300-tp1,liger_tp,38,4,0.9072265625,0.8667448019142616,0.9477083230857384
b300-tp1,liger_tp,39,4,0.9052734375,0.8883458329727496,0.9222010420272504
b300-tp1,liger_tp,40,4,0.90478515625,0.8753697576771861,0.9342005548228139
b300-tp1,liger_tp,41,4,0.8388671875,0.8172606835167933,0.8604736914832067
b300-tp1,liger_tp,42,4,0.92041015625,0.9013573576736064,0.9394629548263936
b300-tp1,liger_tp,43,4,0.9091796875,0.8847742630521412,0.9335851119478588
b300-tp1,liger_tp,44,4,0.84912109375,0.8292413285195306,0.8690008589804694
b300-tp1,liger_tp,45,4,0.93408203125,0.9244610487339252,0.9437030137660748
b300-tp1,liger_tp,46,4,0.89599609375,0.8839928943508338,0.9079992931491662
b300-tp1,liger_tp,47,4,0.91455078125,0.904282301450877,0.924819261049123
b300-tp1,liger_tp,48,4,0.9375,0.9290838815088488,0.9459161184911512
b300-tp1,liger_tp,49,4,0.95068359375,0.9339713314756953,0.9673958560243047
b300-tp1,liger_tp,50,4,0.91748046875,0.8984276701736064,0.9365332673263936
b300-tp1,liger_tp,51,4,0.9140625,0.8876914527746698,0.9404335472253302
b300-tp1,liger_tp,52,4,0.9423828125,0.9274780504764358,0.9572875745235642
b300-tp1,liger_tp,53,4,0.8935546875,0.8870851657530902,0.9000242092469098
b300-tp1,liger_tp,54,4,0.96484375,0.9543811418696989,0.9753063581303011
b300-tp1,liger_tp,55,4,0.90966796875,0.9037848890354372,0.9155510484645628
b300-tp1,liger_tp,56,4,0.93017578125,0.9082916662602166,0.9520598962397834
b300-tp1,liger_tp,57,4,0.921875,0.9048525622123744,0.9388974377876256
b300-tp1,liger_tp,58,4,0.90673828125,0.8947350818508338,0.9187414806491662
b300-tp1,liger_tp,59,4,0.9482421875,0.9333374254764358,0.9631469495235642
b300-tp1,liger_tp,60,4,0.9296875,0.906708960333049,0.952666039666951
b300-tp1,liger_tp,61,4,0.91552734375,0.8862216022171141,0.9448330852828859
b300-tp1,liger_tp,62,4,0.8994140625,0.8806807857155479,0.9181473392844521
b300-tp1,liger_tp,63,4,0.90869140625,0.8869549092350514,0.9304279032649486
b300-tp1,liger_tp,64,4,0.8994140625,0.8803401527829735,0.9184879722170265
b300-tp1,liger_tp,65,4,0.93798828125,0.927719801450877,0.948256761049123
b300-tp1,liger_tp,66,4,0.93798828125,0.9237745740114622,0.9522019884885378
b300-tp1,liger_tp,67,4,0.935546875,0.9196998478402315,0.9513939021597685
b300-tp1,liger_tp,68,4,0.90576171875,0.8890494564756953,0.9224739810243047
b300-tp1,liger_tp,69,4,0.91845703125,0.898097202546542,0.938816859953458
