case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp1,liger_tp,5,4,0.0,0.0,0.0
b300-tp1,liger_tp,6,4,0.0,0.0,0.0
b300-tp1,liger_tp,7,4,0.0,0.0,0.0
b300-tp1,liger_tp,8,4,0.0,0.0,0.0
b300-tp1,liger_tp,9,4,0.0,0.0,0.0
b300-tp1,liger_tp,10,4,0.0,0.0,0.0
b300-tp1,liger_tp,11,4,0.0,0.0,0.0
b300-tp1,liger_tp,12,4,0.0,0.0,0.0
b300-tp1,liger_tp,13,4,0.0,0.0,0.0
b300-tp1,liger_tp,14,4,0.0,0.0,0.0
b300-tp1,liger_tp,15,4,0.0,0.0,0.0
b300-tp1,liger_tp,16,4,0.0,0.0,0.0
b300-tp1,liger_tp,17,4,0.0,0.0,0.0
b300-tp1,liger_tp,18,4,0.0,0.0,0.0
b300-tp1,liger_tp,19,4,0.0,0.0,0.0
b300-tp1,liger_tp,20,4,0.0,0.0,0.0
b300-tp1,liger_tp,21,4,0.0,0.0,0.0
b300-tp1,liger_tp,22,4,0.0,0.0,0.0
b300-tp1,liger_tp,23,4,0.0,0.0,0.0
b300-tp1,liger_tp,24,4,0.0,0.0,0.0
b300-tp1,liger_tp,25,4,0.0,0.0,0.0
b300-tp1,liger_tp,26,4,0.0,0.0,0.0
b300-tp1,liger_tp,27,4,0.0,0.0,0.0
b300-tp1,liger_tp,28,4,0.0,0.0,0.0
b300-tp1,liger_tp,29,4,0.0,0.0,0.0
b300-tp1,liger_tp,30,4,0.0,0.0,0.0
b300-tp1,liger_tp,31,4,0.0,0.0,0.0
b300-tp1,liger_tp,32,4,0.0,0.0,0.0
b300-tp1,liger_tp,33,4,0.001953125,-0.004262590440007242,0.008168840440007243
b300-tp1,liger_tp,34,4,0.0,0.0,0.0
b300-tp1,liger_tp,35,4,0.0,0.0,0.0
b300-tp1,liger_tp,36,4,0.0,0.0,0.0
b300-tp1,liger_tp,37,4,0.0,0.0,0.0
b300-tp1,liger_tp,38,4,0.0,0.0,0.0
b300-tp1,liger_tp,39,4,0.0,0.0,0.0
b300-tp1,liger_tp,40,4,0.0,0.0,0.0
b300-tp1,liger_tp,41,4,0.0,0.0,0.0
b300-tp1,liger_tp,42,4,0.0,0.0,0.0
b300-tp1,liger_tp,43,4,0.0,0.0,0.0
b300-tp1,liger_tp,44,4,0.0,0.0,0.0
b300-tp1,liger_tp,45,4,0.0,0.0,0.0
b300-tp1,liger_tp,46,4,0.001953125,-0.004262590440007242,0.008168840440007243
b300-tp1,liger_tp,47,4,0.0,0.0,0.0
b300-tp1,liger_tp,48,4,0.0,0.0,0.0
b300-tp1,liger_tp,49,4,0.0,0.0,0.0
b300-tp1,liger_tp,50,4,0.0,0.0,0.0
b300-tp1,liger_tp,51,4,0.0,0.0,0.0
b300-tp1,liger_tp,52,4,0.0,0.0,0.0
b300-tp1,liger_tp,53,4,0.0,0.0,0.0
b300-tp1,liger_tp,54,4,0.0,0.0,0.0
b300-tp1,liger_tp,55,4,0.0,0.0,0.0
b300-tp1,liger_tp,56,4,0.0,0.0,0.0
b300-tp1,liger_tp,57,4,0.0,0.0,0.0
