device,tp,tokens,mode,triton_ms,liger_ms,triton_effective_tflops_per_gpu,liger_effective_tflops_per_gpu,mean_paired_gain_percent,gain_ci95_low,gain_ci95_high,triton_seed_cv_percent,liger_seed_cv_percent,triton_wall_ms,liger_wall_ms,triton_seed_ms,liger_seed_ms
NVIDIA B300 SXM6 PC,1,4096,inference_forward,6.083007961511612,2.4082539826631546,523.8081033068721,1323.0867199465463,152.62180225886084,147.3771299094489,157.86647460827277,0.07883173161543076,1.2901831987151446,6.0963493888266385,2.4208033792092465,"[6.087071895599365, 6.087023973464966, 6.080327987670898, 6.077607989311218]","[2.3750799894332886, 2.423375904560089, 2.44377601146698, 2.3907840251922607]"
NVIDIA B300 SXM6 PC,1,4096,forward,6.087393969297409,2.318011999130249,523.4306960894397,1374.5954999005853,162.66323872512808,155.98868742151538,169.33779002874078,0.058457205307811795,1.6079477808076121,6.101657745603006,2.3303301859414205,"[6.091543912887573, 6.089071989059448, 6.083783984184265, 6.08517599105835]","[2.357599973678589, 2.274687945842743, 2.3009520173072815, 2.338808059692383]"
NVIDIA B300 SXM6 PC,1,4096,backward,15.497994065284729,8.053074061870575,411.1924226190444,791.332313161386,92.44967279832422,91.46834005025822,93.43100554639021,0.018147883427614035,0.3243299290927272,15.513019468926359,8.068383176578209,"[15.496063947677612, 15.495304107666016, 15.501328229904175, 15.499279975891113]","[8.051480054855347, 8.034488201141357, 8.035824060440063, 8.090503931045532]"
NVIDIA B300 SXM6 PC,1,4096,full,21.43898594379425,10.459040105342865,445.86934350441857,913.9449215111925,104.98184627257324,103.9904319425791,105.97326060256738,0.005637360584633028,0.30197338842969884,21.453806199133396,10.472968497197144,"[21.43837594985962, 21.438519954681396, 21.43825626373291, 21.440791606903076]","[10.466392278671265, 10.425880193710327, 10.499383926391602, 10.444504022598267]"
NVIDIA B300 SXM6 PC,1,4800,inference_forward,7.456476032733917,2.993863970041275,500.76995079281926,1247.2106860448043,149.06386682744198,146.98079867076234,151.14693498412163,0.016648143418506952,0.5354150044400385,7.469589734682813,3.006858823937364,"[7.457160115242004, 7.455471992492676, 7.457880139350891, 7.455391883850098]","[3.010271966457367, 2.994719982147217, 2.998495936393738, 2.9719679951667786]"
NVIDIA B300 SXM6 PC,1,4800,forward,7.460346013307571,2.885008007287979,500.51018134271857,1294.2699384429393,158.59190697831525,157.3497008367253,159.8341131199052,0.03767258486901013,0.3054944080344062,7.473821628082078,2.8974985834793188,"[7.464183926582336, 7.460504174232483, 7.45904004573822, 7.457655906677246]","[2.8817920088768005, 2.8981680274009705, 2.8802160024642944, 2.879855990409851]"
NVIDIA B300 SXM6 PC,1,4800,backward,18.559316039085388,14.823729872703552,402.38326974295245,503.7840230582935,25.20049925223792,24.7543147813084,25.64668372316744,0.011135969205462394,0.21758232677338038,18.57414855476236,14.839040319202468,"[18.556447982788086, 18.56111192703247, 18.56048011779785, 18.559224128723145]","[14.832967758178711, 14.782191753387451, 14.820024013519287, 14.85973596572876]"
NVIDIA B300 SXM6 PC,1,4800,full,25.87893795967102,17.83820605278015,432.85923964332585,627.9744372755541,45.07649202411308,44.53503544665671,45.61794860156945,0.005734247726399473,0.2320727540191136,25.893996200466063,17.85256219591247,"[25.878920078277588, 25.877359867095947, 25.88092803955078, 25.878543853759766]","[17.852240085601807, 17.819087982177734, 17.792967796325684, 17.88852834701538]"
NVIDIA B300 SXM6 PC,1,5120,inference_forward,7.567260026931763,3.143224000930786,526.3346395161367,1267.1419781792713,140.758139741391,137.95311137974093,143.56316810304108,0.023899011478008533,0.7404177246264075,7.580586803669576,3.1555611931253225,"[7.568024039268494, 7.566480040550232, 7.565191984176636, 7.5693440437316895]","[3.1435840129852295, 3.169055998325348, 3.1125999689102173, 3.14765602350235]"
NVIDIA B300 SXM6 PC,1,5120,forward,7.571528047323227,3.0351520031690598,526.0379481534225,1312.2608272143757,149.51226039467738,142.90639733811247,156.1181234512423,0.02254605549045325,1.6385891203162983,7.584926795971114,3.0478420449071564,"[7.572648048400879, 7.568984031677246, 7.572272062301636, 7.572208046913147]","[2.968991994857788, 3.0679920315742493, 3.025264024734497, 3.0783599615097046]"
