device,tp,tokens,mode,triton_ms,liger_ms,triton_effective_tflops_per_gpu,liger_effective_tflops_per_gpu,mean_paired_gain_percent,gain_ci95_low,gain_ci95_high,triton_seed_cv_percent,liger_seed_cv_percent,triton_wall_ms,liger_wall_ms,triton_seed_ms,liger_seed_ms
NVIDIA H200,1,4096,inference_forward,6.544030010700226,4.390320032835007,389.5249694772174,580.6098578490113,49.0718618627951,46.199570537485464,51.94415318810474,0.25413883332482917,1.2067880907884374,6.563883245689794,4.408914759551408,"[6.5453200340271, 6.530064105987549, 6.533743977546692, 6.566991925239563]","[4.329040050506592, 4.443112015724182, 4.364207983016968, 4.424920082092285]"
NVIDIA H200,1,4096,forward,6.522781997919083,4.379465937614441,390.79385007642594,582.0488448791342,48.962340006325825,45.705399373835384,52.219280638816265,0.23586714996443386,1.462908402692093,6.543302137288265,4.397982054797467,"[6.511008024215698, 6.526047945022583, 6.543231964111328, 6.510840058326721]","[4.285023927688599, 4.427591919898987, 4.4043519496917725, 4.400895953178406]"
NVIDIA H200,1,4096,backward,22.1116840839386,14.164692103862762,230.56254607287727,359.9178960594366,56.14261325383344,51.21317292708343,61.07205358058345,0.31913092299370827,1.6543644987023334,22.137654130347073,14.191051937814336,"[22.212016105651855, 22.082520484924316, 22.103384017944336, 22.048815727233887]","[13.833847999572754, 14.359640121459961, 14.169224262237549, 14.296056032180786]"
NVIDIA H200,1,4096,full,28.343610286712646,18.56070601940155,269.80293594119047,412.00961119336597,52.72948133603923,49.256575329348316,56.20238734273014,0.1396073503650182,1.3398403331680961,28.374836256261915,18.586398437037133,"[28.354560375213623, 28.374816417694092, 28.359376430511475, 28.285687923431396]","[18.23415994644165, 18.50763988494873, 18.705624103546143, 18.795400142669678]"
NVIDIA H200,1,4800,inference_forward,7.9550299644470215,5.562097996473312,375.5087437948637,537.0605319600706,43.026784918264724,41.30998394339288,44.74358589313657,0.3662413110733359,0.6618813512445474,7.975936310685938,5.58126130636083,"[7.911391973495483, 7.968728065490723, 7.971783876419067, 7.9682159423828125]","[5.563896059989929, 5.5181519985198975, 5.60810399055481, 5.558239936828613]"
NVIDIA H200,1,4800,forward,7.967479944229126,5.553056001663208,374.92197403818096,537.9350231485694,43.485564544452714,41.73957527913088,45.231553809774546,0.20249181325297755,0.8008271582955856,7.9887141910148785,5.572751564614009,"[7.97271203994751, 7.985559940338135, 7.947023868560791, 7.964623928070068]","[5.520671963691711, 5.609055995941162, 5.568352103233337, 5.514143943786621]"
NVIDIA H200,1,4800,backward,25.609126091003418,17.093196153640747,233.29053074164906,349.5172326989003,49.82447374405767,48.410285556191965,51.238661931923374,0.031127443221167565,0.5844072096588211,25.636527072492754,17.120432887168135,"[25.620935916900635, 25.603520393371582, 25.605528354644775, 25.60651969909668]","[17.063888549804688, 17.237088203430176, 17.06596803665161, 17.005839824676514]"
NVIDIA H200,1,4800,full,33.28597617149353,22.93605411052704,269.22899542524965,390.7189040981067,45.12627995262201,44.33199978656633,45.9205601186777,0.051095055930814745,0.31205046528126834,33.319020752969664,22.96354305872228,"[33.26381587982178, 33.30507183074951, 33.289424896240234, 33.2855920791626]","[22.982888221740723, 22.866151809692383, 23.01092004776001, 22.88425636291504]"
NVIDIA H200,1,5120,inference_forward,8.448513984680176,5.755107998847961,377.14666372072304,553.652314319354,46.80924282760998,44.54582758251953,49.07265807270043,0.25179766895914774,0.8677772076022183,8.469534179312177,5.77514907126897,"[8.434792041778564, 8.428383827209473, 8.455663919448853, 8.475216150283813]","[5.73309600353241, 5.816751956939697, 5.700560092926025, 5.770023941993713]"
NVIDIA H200,1,5120,forward,8.497263967990875,5.692483961582184,374.98292094053744,559.7431427517599,49.27524538827734,47.880764615816105,50.66972616073858,0.1981833907069363,0.5818048832531149,8.519042567058932,5.711893249099376,"[8.479624271392822, 8.48855996131897, 8.50279188156128, 8.51807975769043]","[5.656319975852966, 5.736304044723511, 5.684575915336609, 5.692735910415649]"
NVIDIA H200,1,5120,backward,26.915630102157593,17.376822113990784,236.76420359667372,366.7332083873446,54.894673509672614,54.27057725320096,55.51876976614427,0.0747589666068249,0.2863137878922957,26.94277100090403,17.404455200448865,"[26.88630437850952, 26.929160594940186, 26.91868782043457, 26.928367614746094]","[17.350024223327637, 17.39469575881958, 17.324944019317627, 17.43762445449829]"
NVIDIA H200,1,5120,full,34.96991419792175,23.36041820049286,273.3488716631763,409.1958673906927,49.69994575285839,48.482742073252886,50.917149432463894,0.08124380614374287,0.4662906835373042,35.0014473842748,23.38838552532252,"[34.979408264160156, 35.000871658325195, 34.93303203582764, 34.96634483337402]","[23.408000469207764, 23.326200008392334, 23.48036813735962, 23.22710418701172]"
NVIDIA H200,4,3328,inference_forward,3.381009981036186,2.1368220150470734,382.8578169660676,605.7809641443084,58.22835595777339,57.280199833871386,59.17651208167539,0.28099804086862873,0.5648270773302704,3.3998113649431616,2.1549056182266213,"[3.3754080533981323, 3.3756479620933533, 3.3778159618377686, 3.3951679468154907]","[2.137176036834717, 2.134175956249237, 2.12335205078125, 2.1525840163230896]"
NVIDIA H200,4,3328,forward,3.3915500044822693,2.107578009366989,381.66799804492376,614.1865661564702,60.94472318337884,57.217474588731434,64.67197177802625,0.1559075791188273,1.3123240690228841,3.4120309974241536,2.125631184753729,"[3.39520800113678, 3.3899360299110413, 3.3962640166282654, 3.3847919702529907]","[2.0756160020828247, 2.1172479391098022, 2.097144067287445, 2.1403040289878845]"
NVIDIA H200,4,3328,backward,8.470767974853516,9.20518809556961,305.62662188899935,281.24272682771306,-7.974126350429297,-9.417657887015697,-6.530594813842898,0.3822352247528477,0.6229398424606769,8.492307759297546,9.22834549783147,"[8.426015853881836, 8.492224216461182, 8.49674391746521, 8.468087911605835]","[9.290168046951294, 9.164512157440186, 9.18116021156311, 9.184911966323853]"
NVIDIA H200,4,3328,full,11.768764078617096,11.29276990890503,329.9699335884994,343.8782807730594,4.214820414687093,3.806921431474089,4.622719397900098,0.3775590184339509,0.16423597791206565,11.791999568231404,11.31558993802173,"[11.736687898635864, 11.749727964401245, 11.834480285644531, 11.754160165786743]","[11.279919862747192, 11.275935888290405, 11.31606388092041, 11.29916000366211]"
